week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,Coleby Hamm,172749,HB,MCNEESE,1,7,1,0,0.0,0,0,19,0,0,1,19,38.8,0,2,217,0,4,71.9,62.8,73.1,,55.2,58.0,63.7,57.3,5,0,0,0,3,12,0,0,0,7,0,19,19,2.71,2.7,0.0,3
0,Kiron Benjamin,191787,HB,NORFOLK,1,6,3,0,0.0,0,0,33,0,0,3,15,125.0,1,2,244,0,4,70.5,79.6,68.5,,,59.7,76.1,,10,0,0,0,1,6,0,0,0,6,0,33,15,2.5,5.5,0.0,2
0,Tommy Mellott,147646,QB,MONTANA ST,1,6,5,2,72.7,32,0,41,0,0,4,39,624.0,2,2,233,2,1,22.7,63.1,77.5,54.5,,,73.2,60.0,17,0,0,0,0,44,3,1,0,5,1,44,39,6.5,7.3,,4
0,D'angelo Durham,83752,HB,MCNEESE,1,6,0,2,66.7,34,0,51,0,0,0,21,0.0,2,3,217,0,4,69.9,66.6,73.9,,70.0,69.8,65.6,57.6,18,0,13,1,8,10,0,0,1,7,1,51,21,3.5,8.5,1.63,1
0,Daniel Richardson,97103,QB,FL A&M,1,5,1,1,58.6,17,0,22,0,0,0,12,0.0,1,2,164,0,1,70.4,88.4,76.3,87.8,,,64.6,60.0,17,0,0,0,0,27,7,1,0,4,0,29,11,2.2,5.8,,1
0,Jayden Jenkins,164776,HB,DELWARE ST,1,5,0,0,0.0,0,0,5,0,0,0,9,0.0,0,0,152,0,1,70.1,55.9,72.1,,72.1,72.7,51.7,60.0,4,0,16,2,8,6,0,0,2,7,0,5,9,1.8,1.0,2.0,4
0,Carter Hensley,177527,QB,SE MO ST,1,5,0,1,120.5,47,0,39,0,0,0,6,0.0,1,2,293,1,3,36.1,75.1,75.9,69.9,,,69.9,60.0,47,1,0,0,0,33,0,0,0,5,1,39,6,1.2,7.8,,0
0,Dennis Moody III,170621,HB,N ALABAMA,1,3,1,0,0.0,0,0,5,0,0,1,8,88.9,0,0,389,0,2,67.3,58.9,70.1,,28.5,57.0,60.9,60.0,7,0,0,0,4,4,0,0,0,3,0,5,8,2.67,1.7,0.0,1
0,Jalen Fletcher,189034,HB,N ALABAMA,1,3,0,2,97.6,41,0,42,0,0,0,20,0.0,2,2,389,0,0,67.8,75.5,70.7,,,71.5,73.5,60.0,26,0,11,1,6,4,0,0,1,4,0,42,20,6.67,14.0,1.83,1
0,Ty McCullouch,71780,WR,MONTANA ST,1,2,0,1,76.0,19,0,25,0,0,0,3,0.0,1,1,233,0,1,68.8,68.5,79.1,,,64.8,70.0,63.5,19,0,66,7,33,39,0,0,8,9,0,25,3,1.5,12.5,2.0,0
0,Paxton DeLaurent,159618,QB,SE MO ST,1,2,1,0,0.0,0,0,1,0,0,1,4,400.0,1,1,293,0,0,67.8,65.2,73.9,61.9,,,64.7,60.0,15,0,0,0,0,11,15,1,0,1,0,16,4,2.0,8.0,,1
0,Tre'Vonte Citizen,162731,HB,MCNEESE,1,2,1,0,0.0,0,0,8,0,0,1,4,100.0,0,0,217,0,1,66.3,68.8,70.3,,51.8,78.0,63.2,66.2,6,0,0,0,1,4,0,0,0,2,0,8,4,2.0,4.0,0.0,1
0,Levontai Summersett,172872,HB,FL A&M,1,2,0,0,0.0,0,0,1,0,2,0,1,25.0,0,0,164,0,0,70.1,56.1,71.1,,71.5,67.5,52.1,,1,0,16,2,7,4,0,0,2,4,0,1,1,0.5,0.5,2.29,2
0,Jaden Pete,192455,QB,TARLETON,1,2,0,0,0.0,0,0,-4,0,0,0,2,0.0,0,0,401,0,0,67.5,41.1,73.4,39.9,,,57.4,60.0,0,0,0,0,0,17,0,0,0,2,0,-4,2,1.0,-2.0,,1
0,Logan Collier,189028,WR,N ALABAMA,1,1,0,0,0.0,0,0,10,0,0,0,0,0.0,1,1,389,0,0,71.9,48.9,0.0,,,54.6,63.2,40.4,10,1,0,0,7,6,0,0,0,1,0,10,0,0.0,10.0,0.0,0
0,Noah Tracey,177081,K,NORFOLK,1,1,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,244,1,0,11.1,60.0,60.0,,,,60.0,,-10,0,0,0,0,1,0,0,0,1,0,-10,0,0.0,-10.0,,0
0,C.J. Henry,155870,QB,DELWARE ST,1,1,1,0,0.0,0,0,0,0,0,0,,100.0,0,0,152,0,0,62.7,60.0,67.4,49.8,,,64.1,60.0,9,0,0,0,0,1,9,1,0,0,0,9,0,0.0,9.0,,0
0,Victor Gabalis,131932,QB,TARLETON,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,401,0,0,67.8,76.9,75.0,77.2,,,59.5,60.0,1,0,0,0,0,23,0,0,0,1,0,1,1,1.0,1.0,,1
0,Kyron Downing,159630,WR,SE MO ST,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,293,0,0,66.0,61.8,73.8,,,62.0,59.6,60.2,1,0,22,3,14,6,0,0,3,4,0,1,0,0.0,1.0,1.57,0
0,A.J. Phillips,97378,TE,N ALABAMA,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,389,0,1,62.5,57.9,68.3,,,59.7,59.6,58.3,3,0,0,0,1,4,0,0,0,1,0,3,3,3.0,3.0,0.0,0
week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Omarion Hampton,162750,HB,N CAROLINA,1,30,12,2,24.0,31,0,129,0,4,12,92,140.2,4,7,245,0,22,79.4,66.9,78.1,,56.0,62.4,67.3,55.2,16,0,17,5,18,34,0,0,5,35,0,129,92,3.07,4.3,0.94,7
1,Ismail Mahdi,161419,HB,TEXAS ST,1,28,5,4,50.3,79,0,157,0,0,5,42,25.9,6,9,314,0,14,78.8,66.0,77.6,,79.1,52.8,67.1,,25,0,0,1,31,28,0,0,1,29,1,157,42,1.5,5.6,0.0,13
