Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
114,W MICHIGAN ,2014,1,@,PURDUE,34,43,-9,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
115,WISCONSIN,2014,1,N,LSU,24,28,-4,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
116,WYOMING,2014,1,,MONTANA,17,12,5,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
117,BAYLOR,2014,1,,SMU,45,0,45,6,6,6,4,1,0,0,0,0,0,0,0,0,0,0
118,SMU,2014,1,@,BAYLOR,0,45,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,TENNESSEE,2014,1,,UTAH ST,38,7,31,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
120,UTAH ST,2014,1,@,TENNESSEE,7,38,-31,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
121,LOUISVILLE,2014,1,,MIAMI FL,31,13,18,4,4,4,1,1,0,0,1,0,0,0,0,0,0,0
122,MIAMI FL,2014,1,@,LOUISVILLE,13,31,-18,1,1,1,2,2,0,0,0,0,0,0,1,0,0,0
123,ARIZONA,2014,2,@,UTSA,26,23,3,2,2,2,4,4,0,1,0,0,0,0,0,0,0,0
124,UTSA,2014,2,,ARIZONA,23,26,-3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
125,BOSTON COL,2014,2,,PITTSBURGH,20,30,-10,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
126,NEVADA,2014,2,,WASH STATE,24,13,11,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
127,PITTSBURGH,2014,2,@,BOSTON COL,30,20,10,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
128,WASH STATE,2014,2,@,NEVADA,13,24,-11,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0
129,AIR FORCE,2014,2,@,WYOMING,13,17,-4,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0
130,AKRON ,2014,2,@,PENN STATE,3,21,-18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
131,ALABAMA,2014,2,,FAU,41,0,41,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0
132,UAB,2014,2,@,MISS STATE,34,47,-13,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0
133,APP STATE,2014,2,,CAMPBELL,66,0,66,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0
