week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Justin Lescouflair,102680,HB,ARMY,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,114,0,0,62.5,54.1,71.9,,63.6,,60.0,58.8,4,0,0,0,0,10,0,0,0,1,0,4,1,1.0,4.0,,0
1,Maurice Bellan,102864,QB,ARMY,1,1,0,0,0.0,0,0,7,0,0,0,5,0.0,0,0,114,0,0,62.5,69.8,65.5,,,,63.0,60.0,7,0,0,0,0,2,0,0,0,1,0,7,5,5.0,7.0,,1
1,Cameron Fleming,77736,HB,MEMPHIS,1,1,0,0,0.0,0,0,6,0,0,0,1,0.0,0,0,218,0,0,62.5,67.8,70.0,,,,63.1,60.0,6,0,0,0,0,4,0,0,0,1,0,6,1,1.0,6.0,,1
1,Layne Hatcher,82068,QB,ARK STATE,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,113,0,0,67.6,60.4,74.0,61.6,,,57.3,60.0,6,0,0,0,0,8,6,1,0,0,0,6,0,0.0,6.0,,0
1,Kylen Granson,40630,TE,SMU,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,287,0,1,65.7,76.0,80.6,,71.4,65.5,57.7,85.0,0,0,11,1,29,42,0,0,4,2,0,0,0,0.0,0.0,0.38,0
1,Chance Lovertich,121427,QB,S ALABAMA,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,288,0,0,64.8,74.0,68.6,73.7,,,60.0,60.0,-1,0,0,0,0,3,0,0,0,1,0,-1,0,0.0,-1.0,,0
1,Chase Cunningham,78533,QB,MIDDLE TN,1,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,224,1,0,65.6,63.5,71.8,63.9,,,60.0,60.0,0,0,0,0,0,6,0,0,0,1,0,0,2,2.0,0.0,,1
1,Tyler Johnston III,60570,QB,UAB,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,321,0,0,68.4,70.6,76.4,69.6,,,60.0,60.1,-2,0,0,0,0,33,0,0,0,1,0,-2,0,0.0,-2.0,,0
1,TaMerik Williams,77741,HB,SMU,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,287,0,0,62.5,58.1,62.7,,,,59.0,,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0.0,,1
1,Brad Anderson,57302,WR,MIDDLE TN,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,224,0,1,62.5,49.5,73.9,,,55.1,58.1,43.0,4,1,0,0,7,7,0,0,2,1,0,4,2,2.0,4.0,0.0,0
1,Justin Smith,57327,HB,NAVY,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,237,0,0,62.5,48.8,70.6,,63.1,59.7,60.0,55.2,0,0,0,0,1,8,0,0,0,1,0,0,0,0.0,0.0,0.0,0
1,Tim Taylor,57292,HB,MEMPHIS,1,1,0,0,0.0,0,0,3,0,1,0,4,133.3,0,0,218,0,0,65.3,62.0,67.5,,,79.5,57.5,,3,0,18,2,3,1,0,0,2,3,0,3,4,4.0,3.0,6.0,1
1,A.J. Phillips,97378,HB,S ALABAMA,1,1,0,0,0.0,0,0,1,0,0,0,2,0.0,0,0,288,0,0,62.5,59.3,66.0,,68.5,,59.5,,1,0,0,0,0,1,0,0,0,1,0,1,2,2.0,1.0,,1
1,Rashee Rice,97605,WR,SMU,1,1,0,0,0.0,0,0,2,0,2,0,2,80.0,0,0,287,0,0,65.0,79.4,79.2,,,77.1,,73.9,2,0,99,4,26,23,0,0,5,5,0,2,2,2.0,2.0,3.81,0
1,Bryson Lucero,97608,QB,UAB,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,321,0,0,65.4,74.0,73.4,77.3,,,57.3,60.0,3,0,0,0,0,17,3,1,0,0,0,3,1,1.0,3.0,,0
1,Jared Wilson,83753,HB,S ALABAMA,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,288,0,0,62.5,59.3,63.5,,,,59.6,,2,0,0,0,0,1,0,0,0,1,0,2,0,0.0,2.0,,1
1,Cody Orgeron,23693,QB,MCNEESE,1,18,2,1,17.4,19,0,38,0,0,1,30,46.9,3,6,217,1,3,45.2,63.4,78.3,63.6,,,59.5,60.0,20,1,0,0,0,45,71,10,0,8,2,109,50,2.78,6.1,,4
1,Braelon Bridges,136856,HB,TARLETON,1,15,6,2,40.4,42,0,104,0,0,6,89,222.5,5,7,401,1,8,27.7,77.9,74.9,,79.9,60.7,74.6,60.0,27,0,-3,1,7,19,0,0,2,16,2,104,89,5.93,6.9,-0.43,5
