week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Colson Yankoff,83589,WR,UCLA,1,0,324,60.0,100.0,1,10.0,1,60.2,0,100.0,10,10,60.3,100.0,9,90.0,9
0,Tyrin Smith,145487,WR,UTEP,1,0,330,60.2,100.0,4,40.0,4,60.3,0,100.0,10,10,60.1,100.0,6,60.0,6
0,Josh Carlin,72075,T,UCLA,1,0,324,,,0,0.0,0,64.9,0,100.0,10,10,64.4,100.0,8,80.0,8
0,Chris Hickman,101687,TE,NEBRASKA,1,0,238,60.0,100.0,1,10.0,1,56.5,0,100.0,10,10,56.3,100.0,8,80.0,8
0,Omar Manning,61702,WR,NEBRASKA,1,0,238,60.0,100.0,2,20.0,2,60.7,0,100.0,10,10,61.1,100.0,6,60.0,6
0,Mike Martinez,100628,TE,UCLA,1,0,324,86.7,100.0,3,33.3,3,87.2,0,100.0,9,9,76.9,100.0,6,66.7,6
0,Reynaldo Flores,83794,WR,UTEP,1,0,330,60.0,100.0,2,22.2,2,79.1,0,100.0,9,9,60.1,100.0,6,66.7,6
0,Jeremiah Ballard,145495,WR,UTEP,1,0,330,60.2,100.0,4,50.0,4,60.5,0,100.0,8,8,60.3,100.0,4,50.0,4
0,Bruno Fina,131791,C,UCLA,1,0,324,,,0,0.0,0,43.2,0,100.0,8,8,42.1,100.0,6,75.0,6
0,Terence Loville,73749,WR,S JOSE ST,1,0,285,57.9,100.0,3,37.5,3,56.2,0,100.0,8,8,60.7,100.0,5,62.5,5
0,Brandon Peters,40416,QB,ILLINOIS,1,0,187,,,0,0.0,0,60.0,0,100.0,7,7,60.0,100.0,6,85.7,6
0,Keelan Marion,147370,WR,UCONN,1,0,146,59.9,100.0,3,42.9,3,60.7,0,100.0,7,7,60.4,100.0,4,57.1,4
0,Chance La Chapelle,83549,WR,S JOSE ST,1,0,285,60.0,100.0,1,14.3,1,60.4,0,100.0,7,7,60.1,100.0,6,85.7,6
0,Nick Mardner,75945,WR,HAWAII,1,0,180,60.0,100.0,2,28.6,2,61.1,0,100.0,7,7,60.4,100.0,4,57.1,4
0,Aaron Cephus,40121,WR,HAWAII,1,0,180,60.0,100.0,2,33.3,2,61.1,0,100.0,6,6,60.4,100.0,4,66.7,4
0,Nick Ast,60416,WR,UTEP,1,0,330,59.0,100.0,2,33.3,2,58.9,0,100.0,6,6,59.7,100.0,4,66.7,4
0,Taariq Johnson,61192,WR,S JOSE ST,1,0,285,60.0,100.0,2,33.3,2,61.0,0,100.0,6,6,60.2,100.0,4,66.7,4
0,Baraka Beckett,81883,G,UCLA,1,0,324,,,0,0.0,0,59.5,0,100.0,6,6,58.9,100.0,4,66.7,4
0,Jamar Simpson,71758,WR,S JOSE ST,1,0,285,59.9,100.0,3,50.0,3,60.5,0,100.0,6,6,60.0,100.0,3,50.0,3
0,Gamaliel Barboza,81903,T,UTEP,1,0,330,60.0,100.0,2,33.3,2,55.6,0,100.0,6,6,55.2,100.0,4,66.7,4
0,Jalen Cropper,97273,WR,FRESNO ST,1,0,169,60.0,50.0,1,16.7,2,61.0,0,85.7,6,7,60.8,100.0,5,83.3,5
0,Tip Reiman,129423,TE,ILLINOIS,1,0,187,48.9,100.0,3,50.0,3,45.3,0,100.0,6,6,59.0,100.0,2,33.3,2
0,Fernando Carmona,146185,T,S JOSE ST,1,0,285,56.9,100.0,3,50.0,3,65.3,0,100.0,6,6,69.0,100.0,3,50.0,3
0,Mac Dalena,128174,WR,FRESNO ST,1,0,169,60.0,100.0,1,16.7,1,60.9,0,100.0,6,6,60.3,100.0,4,66.7,4
0,Brad Whitworth,100544,T,UCLA,1,0,324,,,0,0.0,0,48.0,1,100.0,6,6,47.5,100.0,4,66.7,4
0,Jacob Trim,100769,TE,UTEP,1,0,330,56.0,100.0,2,33.3,2,51.9,0,100.0,6,6,55.6,100.0,4,66.7,4
0,Cameron Cooper,100805,G,UTEP,1,0,330,47.3,100.0,2,33.3,2,48.8,0,100.0,6,6,60.1,100.0,4,66.7,4
0,Billy Bob Humphreys,41875,TE,S JOSE ST,1,0,285,66.0,100.0,1,16.7,1,80.1,0,100.0,6,6,71.5,100.0,5,83.3,5
