Week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
1,Patrick Crayton,1932,WR,DAL,1,10.0,0,100.0,,0,0,0,0.0,0,5,9,0,74.6,68.8,82.1,,80.2,0.0,0,0,25,0.0,0,31,0,6,93.5,29,48.4,15,118.8,6,0,51.6,16,82,22,3.7,13.7,2.83
1,Bo Scaife,2396,TE,TEN,1,3.8,3,100.0,,0,0,0,0.0,0,3,31,0,74.6,68.8,81.8,38.5,89.9,61.9,13,0,44,28.6,6,21,1,6,61.9,13,19.0,4,118.8,6,0,0.0,0,105,82,13.7,17.5,8.08
1,Ike Hilliard,233,WR,TB,1,3.0,1,100.0,,0,0,0,0.0,0,5,30,0,74.6,68.8,81.7,,80.1,0.0,0,0,11,0.0,0,26,0,6,96.2,25,84.6,22,137.5,6,1,15.4,4,45,27,4.5,7.5,1.8
1,Jerricho Cotchery,1829,WR,NYJ,1,15.8,0,50.0,,0,0,0,0.0,0,3,22,0,70.5,65.8,75.5,,75.4,0.0,0,0,56,0.0,0,26,0,3,92.3,24,34.6,9,135.4,6,1,65.4,17,80,19,6.3,26.7,3.33
1,Ricky Williams,440,HB,MIA,1,3.3,0,66.7,,0,0,0,0.0,0,1,17,1,72.1,22.7,46.3,55.8,67.6,0.0,0,0,15,22.2,4,18,0,4,72.2,13,0.0,0,70.1,6,0,16.7,3,15,12,3.0,3.8,1.15
1,David Martin,916,TE,MIA,1,13.2,0,66.7,,0,0,0,0.0,0,4,17,0,72.1,67.0,92.7,60.0,92.4,72.7,16,0,24,18.2,4,22,0,4,81.8,18,9.1,2,134.0,6,1,13.6,3,53,2,0.5,13.3,2.94
1,Steven Jackson,1745,HB,SL,1,2.0,0,50.0,,0,0,0,25.0,1,1,26,0,36.2,75.8,58.4,67.8,57.8,0.0,0,0,24,26.7,8,30,0,3,73.3,22,10.0,3,67.4,6,0,0.0,0,34,16,5.3,11.3,1.55
1,Jeremy Shockey,1021,TE,NO,1,6.2,1,100.0,,0,0,0,0.0,0,3,20,0,74.6,68.8,81.8,70.7,86.2,89.3,25,0,26,7.1,2,28,0,6,92.9,26,10.7,3,104.2,6,0,0.0,0,54,17,2.8,9.0,2.08
1,Derrick Mason,271,WR,BLT,1,9.0,0,66.7,,0,0,0,0.0,0,4,3,0,72.1,67.0,73.9,,71.4,0.0,0,0,15,0.0,0,28,0,4,100.0,28,50.0,14,88.2,6,0,50.0,14,44,1,0.3,11.0,1.57
1,Randy McMichael,1114,TE,SL,1,9.7,1,83.3,,0,0,0,0.0,0,3,26,0,73.4,68.0,68.1,76.4,70.3,43.3,13,0,31,26.7,8,30,1,5,73.3,22,46.7,14,118.8,6,0,0.0,0,77,29,5.8,15.4,3.5
1,Robert Royal,1151,TE,BUF,1,4.8,0,100.0,,0,0,0,0.0,0,1,4,0,74.6,68.8,90.2,77.1,73.3,70.0,21,0,30,26.7,8,30,0,6,70.0,21,10.0,3,142.4,6,1,3.3,1,52,23,3.8,8.7,2.48
1,Ted Ginn Jr.,3625,WR,MIA,1,16.3,0,33.3,,0,0,0,0.0,0,1,17,0,68.3,66.2,50.3,,53.0,0.0,0,1,14,0.0,0,39,1,2,94.9,37,10.3,4,2.8,6,0,89.7,35,17,2,1.0,8.5,0.46
1,Donald Driver,533,WR,GB,1,12.0,0,80.0,,0,0,0,0.0,0,1,12,0,46.3,68.0,64.4,,63.9,0.0,0,0,25,0.0,0,26,0,4,88.5,23,80.8,21,98.3,5,0,19.2,5,38,9,2.3,9.5,1.65
1,Ashley Lelie,1026,WR,OAK,1,13.0,1,60.0,,0,0,0,0.0,0,2,23,0,70.5,65.8,63.7,,63.3,0.0,0,0,22,0.0,0,26,0,3,100.0,26,19.2,5,122.5,5,1,80.8,21,37,4,1.3,12.3,1.42
1,Desmond Clark,529,TE,CHI,1,10.0,0,40.0,,0,0,0,0.0,0,2,6,0,68.3,64.0,87.8,72.2,84.0,63.2,12,0,26,10.5,2,19,0,2,89.5,17,15.8,3,73.8,5,0,10.5,2,46,16,8.0,23.0,2.71
1,Mark Clayton,2239,WR,BLT,1,11.0,0,60.0,,0,0,0,0.0,0,1,3,0,70.5,67.4,65.5,,57.9,0.0,0,0,8,0.0,0,24,0,3,100.0,24,45.8,11,69.6,5,0,54.2,13,21,3,1.0,7.0,0.88
1,Troy Williamson,2224,WR,JAX,1,21.0,0,40.0,,0,0,0,0.0,0,1,15,0,68.3,64.0,66.3,,65.5,0.0,0,1,6,0.0,0,11,0,2,100.0,11,27.3,3,8.3,5,0,72.7,8,11,0,0.0,5.5,1.0
