Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,T.J. Finley,124093,QB,W KENTUCKY,1,69.2,26,31,5.4,2.27,3,0,0.0,58.1,18,0,8,0.0,35,0,7,346,70.1,40.0,37.3,59.0,1,2,36,0,12.5,36.1,2.9,1,3,0,1,0,3,8.3,92,3.0
1,Jordan McCloud,101058,QB,TEXAS ST,1,79.3,29,30,10.3,2.45,1,2,6.7,70.0,21,0,1,8.7,33,2,11,314,68.5,73.2,77.3,50.3,0,1,33,0,0.0,112.9,0.0,0,3,0,0,3,1,3.0,238,7.9
1,Taisun Phommachanh,99577,QB,UMASS,1,78.6,28,30,7.5,2.48,2,1,2.9,66.7,20,0,16,9.1,39,2,10,216,41.4,70.4,66.9,69.9,0,0,44,1,37.5,82.8,15.4,6,3,0,0,0,0,0.0,181,6.0
1,Mike Wright,124366,QB,NWESTERN,1,67.9,28,30,12.1,2.46,0,2,6.5,60.0,18,0,9,5.3,31,1,11,256,71.6,83.0,78.5,72.1,1,0,32,0,0.0,76.8,0.0,0,1,0,1,0,0,0.0,178,5.9
1,Riley Leonard,143862,QB,NOTRE DAME,1,73.1,26,30,5.6,2.27,1,0,0.0,60.0,18,0,11,5.3,34,1,9,258,38.8,62.1,58.7,63.7,3,0,37,0,9.1,74.0,2.9,1,3,0,0,0,0,0.0,158,5.3
1,Seth Henigan,144267,QB,MEMPHIS,1,82.8,29,30,10.8,2.59,0,5,15.6,73.3,22,0,9,8.3,32,2,11,218,69.5,92.0,91.3,69.5,0,0,34,0,11.1,128.2,3.1,1,0,0,1,2,0,0.0,308,10.3
1,Goose Crowder,144781,QB,TROY,1,75.9,29,30,10.0,3.14,0,2,6.7,66.7,20,0,17,9.1,38,2,12,318,35.4,74.9,76.5,60.3,1,0,39,0,11.8,96.5,5.3,2,6,0,0,1,1,2.6,200,6.7
1,Kirk Francis,173296,QB,TULSA,1,82.8,29,30,13.6,2.54,1,5,16.1,76.7,23,0,9,4.2,32,1,16,320,68.5,91.2,91.2,61.4,0,0,33,0,0.0,147.1,0.0,0,2,0,0,4,1,3.0,299,10.0
1,Conner Weigman,158683,QB,TEXAS A&M,1,46.4,28,30,7.0,2.72,0,0,0.0,40.0,12,0,15,7.7,36,1,6,312,69.9,40.2,37.1,58.0,1,2,40,0,6.7,21.5,2.8,1,5,0,1,0,2,5.0,100,3.3
1,Jake Retzlaff,70874,QB,BYU,1,72.4,29,30,13.5,2.77,1,3,9.1,66.7,20,0,7,4.8,35,1,16,128,33.9,78.2,86.2,47.2,0,0,38,0,28.6,139.3,5.7,2,3,0,0,3,0,0.0,348,11.6
