Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Jared DeVries,482,ED,DET,1,0,0,100.0,0,0,11,0,0,58.9,45.0,76.9,58.9,54.0,27.9,1,0,0,0,17,20.0,1,0,0,118.8,1,0,0,0,0,0,47,47,0,0,0,47,0,0,13,34,0,2,4,0,1,1,0,17,8,17.0
1,Joey Porter,484,ED,MIA,1,0,0,,0,0,17,0,0,47.0,51.1,77.4,56.1,55.4,76.0,0,0,0,0,,20.0,1,0,0,0.0,0,1,0,2,0,6,56,54,0,0,42,12,0,2,22,28,0,3,4,0,0,1,0,0,0,
1,Chike Okeafor,493,ED,ARZ,1,0,0,100.0,0,0,1,0,0,30.6,49.1,74.8,75.5,53.4,24.8,1,1,0,0,16,66.7,2,0,0,118.8,2,1,0,10,0,8,32,22,0,0,19,3,0,10,11,13,0,2,1,0,2,3,0,30,22,15.0
1,Aaron Smith,500,DI,PIT,1,1,0,100.0,0,0,25,0,0,60.0,57.0,76.3,58.0,64.4,28.4,0,2,0,0,4,33.3,1,0,0,83.3,1,0,0,0,0,0,40,40,0,0,0,40,0,0,28,12,0,1,1,0,1,2,0,4,9,4.0
1,Pierson Prioleau,501,S,JAX,1,0,0,,0,0,15,0,0,60.0,60.2,64.4,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
1,Dexter Jackson,503,S,CIN,1,0,0,33.3,0,0,7,0,0,63.5,48.1,80.3,67.6,32.5,27.8,1,0,0,0,5,42.9,3,0,0,42.4,1,0,0,56,0,25,75,1,0,0,1,0,15,74,4,46,3,1,4,0,3,1,0,5,1,5.0
1,Eric Barton,516,LB,NYJ,1,0,0,66.7,0,0,22,0,0,82.8,74.3,0.0,66.9,59.8,48.6,0,1,0,0,24,14.3,1,1,1,88.2,4,0,0,41,0,22,41,0,0,0,0,0,0,41,4,15,0,1,6,0,6,1,0,44,9,11.0
1,David Bowens,523,ED,NYJ,1,0,0,,0,0,22,0,0,,57.0,73.8,56.1,60.2,,1,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,21,20,1,6,0,13,0,1,19,2,0,0,0,0,0,1,0,0,0,
1,Jason Craft,524,CB,NO,1,0,0,100.0,0,0,20,0,0,52.8,59.7,71.9,65.3,,22.6,0,0,0,0,11,100.0,1,0,0,112.5,1,0,0,0,0,10,11,0,0,0,0,0,0,11,1,0,11,0,0,0,1,0,0,11,14,11.0
1,Brendon Ayanbadejo,542,LB,BLT,1,0,0,,0,0,3,0,0,60.0,59.8,65.1,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
